sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,activityType,duration,durationUnit,totalEnergyBurned,totalDistance,totalSwimmingStrokeCount,totalFlightsClimbed,HKTimeZone,HKIndoorWorkout,HKWasUserEntered
HKWorkoutTypeIdentifier,Nike Run Club,1806151757,"iPhone8,4",,2018-06-26 12:11:08 +0000,2018-06-26 13:09:10 +0000,Running,3467.8272199630737,sec,458.836 kcal,8007.81 m,,,America/New_York,0,0
HKWorkoutTypeIdentifier,Nike Run Club,1806151757,"iPhone8,4",,2018-07-01 13:59:37 +0000,2018-07-01 14:04:10 +0000,Running,115.53959941864014,sec,35.757 kcal,541.223 m,,,America/New_York,0,0
HKWorkoutTypeIdentifier,Nike Run Club,1806151757,"iPhone8,4",,2018-07-01 14:07:41 +0000,2018-07-01 14:13:10 +0000,Running,76.03537964820862,sec,25.301 kcal,432.096 m,,,America/New_York,0,0
HKWorkoutTypeIdentifier,Nike Run Club,1806151757,"iPhone8,4",,2018-07-01 14:19:48 +0000,2018-07-01 14:29:01 +0000,Running,186.49630975723267,sec,53.776 kcal,821.749 m,,,America/New_York,0,0
HKWorkoutTypeIdentifier,Nike Run Club,1806151757,"iPhone8,4",,2018-07-06 14:21:23 +0000,2018-07-06 14:57:26 +0000,Running,2157.0650770664215,sec,282.002 kcal,5006.3 m,,,America/New_York,0,0
HKWorkoutTypeIdentifier,Nike Run Club,1806151757,"iPhone8,4",,2018-07-09 12:48:49 +0000,2018-07-09 13:02:33 +0000,Running,819.732861995697,sec,97.316 kcal,1814.68 m,,,America/New_York,0,0
HKWorkoutTypeIdentifier,Nike Run Club,1807061640,"iPhone8,4",,2018-07-13 11:53:39 +0000,2018-07-13 12:20:20 +0000,Running,1589.8980350494385,sec,175.544 kcal,3234 m,,,America/New_York,0,0
HKWorkoutTypeIdentifier,Nike Run Club,1807061640,"iPhone8,4",,2018-07-13 12:21:23 +0000,2018-07-13 12:26:30 +0000,Running,302.11909580230713,sec,64.407 kcal,1019.62 m,,,America/New_York,0,0
HKWorkoutTypeIdentifier,Nike Run Club,1807061640,"iPhone8,4",,2018-07-21 23:51:29 +0000,2018-07-22 00:33:43 +0000,Running,2530.5590357780457,sec,273.237 kcal,5070.2 m,,,America/New_York,0,0
HKWorkoutTypeIdentifier,Nike Run Club,1807061640,"iPhone8,4",,2018-07-29 21:58:43 +0000,2018-07-29 22:02:52 +0000,Running,249.68276381492615,sec,15.494 kcal,350.315 m,,,America/New_York,0,0
HKWorkoutTypeIdentifier,Nike Run Club,1807061640,"iPhone8,4",,2018-08-03 22:52:44 +0000,2018-08-03 22:59:38 +0000,Running,410.08224081993103,sec,106.662 kcal,1652.15 m,,,America/New_York,0,0
HKWorkoutTypeIdentifier,Nike Run Club,1807061640,"iPhone8,4",,2018-08-04 23:02:50 +0000,2018-08-04 23:20:50 +0000,Running,1067.4872362613678,sec,201.15 kcal,3232.02 m,,,America/New_York,0,0
HKWorkoutTypeIdentifier,Nike Run Club,1807061640,"iPhone8,4",,2018-08-27 23:58:55 +0000,2018-08-28 00:24:01 +0000,Running,1505.7878000736237,sec,315.321 kcal,5002.05 m,,,America/New_York,0,0
HKWorkoutTypeIdentifier,Nike Run Club,1808241850,"iPhone8,4",,2018-09-11 23:35:31 +0000,2018-09-11 23:43:23 +0000,Running,467.9921736717224,sec,55.907 kcal,1010.36 m,,,America/New_York,0,0
HKWorkoutTypeIdentifier,Nike Run Club,1808241850,"iPhone8,4",,2018-09-11 23:43:35 +0000,2018-09-11 23:47:23 +0000,Running,223.91509914398193,sec,65.5 kcal,1005.97 m,,,America/New_York,0,0
HKWorkoutTypeIdentifier,Nike Run Club,1808241850,"iPhone8,4",,2018-09-11 23:48:42 +0000,2018-09-11 23:58:55 +0000,Running,606.852391242981,sec,49.889 kcal,1004.62 m,,,America/New_York,0,0
HKWorkoutTypeIdentifier,Nike Run Club,1808241850,"iPhone8,4",,2018-09-11 23:59:08 +0000,2018-09-11 23:59:29 +0000,Running,17.84631609916687,sec,7.784 kcal,116.665 m,,,America/New_York,0,0
HKWorkoutTypeIdentifier,Nike Run Club,1808241850,"iPhone8,4",,2018-09-12 00:00:31 +0000,2018-09-12 00:00:55 +0000,Running,20.519099712371826,sec,6.947 kcal,105.732 m,,,America/New_York,0,0
HKWorkoutTypeIdentifier,Nike Run Club,1808241850,"iPhone8,4",,2018-09-12 00:02:29 +0000,2018-09-12 00:02:51 +0000,Running,18.474764108657837,sec,7.89 kcal,118.175 m,,,America/New_York,0,0
HKWorkoutTypeIdentifier,Nike Run Club,1810101936,"iPhone8,4",,2018-10-17 23:10:10 +0000,2018-10-18 00:05:45 +0000,Running,3323.7660801410675,sec,622.803 kcal,10013 m,,,America/New_York,0,0
HKWorkoutTypeIdentifier,Nike Run Club,1810101936,"iPhone8,4",,2018-10-20 20:52:21 +0000,2018-10-20 21:03:23 +0000,Running,661.1251349449158,sec,90.771 kcal,1525.04 m,,,America/New_York,0,0
HKWorkoutTypeIdentifier,Nike Run Club,1810101936,"iPhone8,4",,2018-10-20 21:04:17 +0000,2018-10-20 21:06:02 +0000,Running,101.29641795158386,sec,6.272 kcal,138.827 m,,,America/New_York,0,0
